Game Title,Developer,Genre,Metacritic Score,Platform,Status,Priority,Publisher,Public Reviews & Links,Recommendation Source,Release Date
Armored Core VI: Fires of Rubicon,FromSoftware,"Action, Shooter",86,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Bandai Namco Entertainment,Metascore 86. Mech action from FromSoftware. Fast-paced combat with deep customization.,Personal Discovery,"August 25, 2023"
Blasphemous 2,The Game Kitchen,"Action, Platformer",84,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Team17,Metascore 84. Dark metroidvania sequel. Gothic Spanish religious imagery and brutal combat.,Personal Discovery,"August 24, 2023"
Baldur's Gate 3,Larian Studios,"RPG, Strategy",96,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Larian Studios,Metascore 96-99 depending on platform. Won Game of the Year 2023. Highest-rated Xbox Series X/S game with 99 score.,Personal Discovery,"August 3, 2023"
Venba,Visai Games,"Adventure, Indie, Simulation",79,"Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Visai Games,Metascore 79. Narrative cooking game about immigrant family. Emotional story about cultural identity.,Personal Discovery,"July 31, 2023"
Pikmin 4,Nintendo,"Adventure, Strategy",87,Nintendo Switch,Want to Play,High,Nintendo,Metascore 87. Charming strategy adventure. Most accessible Pikmin game with new Oatchi companion.,Personal Discovery,"July 21, 2023"
Viewfinder,Sad Owl Studios,"Adventure, Indie, Puzzle",79,"PC, PlayStation 5",Want to Play,Medium,Thunderful Publishing,Metascore 79. Reality-warping puzzle game. Use photos to change the world.,Personal Discovery,"July 18, 2023"
Dave the Diver,Mintrocket,"Adventure, Indie, Simulation",90,"Nintendo Switch, PC",Want to Play,High,Nexon,Metascore 90. Diving adventure meets sushi restaurant sim. Charming and addictive gameplay loop.,Personal Discovery,"June 28, 2023"
Final Fantasy XVI,Square Enix,"Action, RPG",87,PlayStation 5,Want to Play,High,Square Enix,Metascore 87-88. Major departure for Final Fantasy with action-focused combat. Praised for epic boss battles and story.,Personal Discovery,"June 22, 2023"
Diablo IV,Blizzard Entertainment,"Action, RPG",86,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Blizzard Entertainment,Metascore 86. Dark action-RPG return to form. Over 12 million sold in first month.,Personal Discovery,"June 6, 2023"
Street Fighter 6,Capcom,Fighting,92,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Capcom,Metascore 92. Revitalized the fighting game genre with innovative World Tour mode and modern controls.,Personal Discovery,"June 2, 2023"
The Legend of Zelda: Tears of the Kingdom,Nintendo,"Action, Adventure, RPG",96,Nintendo Switch,Want to Play,High,Nintendo,Metascore 96. Highest-rated game of first half of 2023. Sequel to Breath of the Wild with revolutionary building mechanics.,Personal Discovery,"May 12, 2023"
Star Wars Jedi: Survivor,Respawn Entertainment,"Action, Adventure",85,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Electronic Arts,Metascore 85. Sequel to Fallen Order. Expanded combat and exploration.,Personal Discovery,"April 28, 2023"
Dredge,Black Salt Games,"Adventure, Horror, Indie",84,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Team17,Metascore 84. Lovecraftian fishing game. Atmospheric horror with satisfying gameplay loop.,Personal Discovery,"March 30, 2023"
Resident Evil 4 Remake,Capcom,"Action, Adventure, Horror",93,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Capcom,Metascore 93. Third highest-rated game of 2023. Reimagining of one of gaming's most influential titles.,Personal Discovery,"March 24, 2023"
Tchia,Awaceb,"Adventure, Indie",79,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Kepler Interactive,Metascore 79. Tropical open-world adventure. Soul-jumping mechanics and New Caledonia-inspired setting.,Personal Discovery,"March 21, 2023"
Wo Long: Fallen Dynasty,Team Ninja,"Action, RPG",81,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Koei Tecmo,Metascore 81. Chinese Three Kingdoms soulslike. Faster combat than Nioh.,Personal Discovery,"March 3, 2023"
Octopath Traveler II,Square Enix,RPG,84,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S",Want to Play,High,Square Enix,Metascore 84. HD-2D JRPG sequel. Improved systems and interconnected stories.,Personal Discovery,"February 24, 2023"
Atomic Heart,Mundfish,"Action, Shooter",71,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Focus Entertainment,Metascore 71. Soviet alternate history FPS. Stylish but mixed reception.,Personal Discovery,"February 21, 2023"
Hogwarts Legacy,Avalanche Software,"Action, Adventure, RPG",84,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Warner Bros. Games,30 million copies sold. Best-selling game of 2023 initially. Harry Potter open-world.,Personal Discovery,"February 10, 2023"
Hogwarts Legacy,Avalanche Software,"Action, Adventure, RPG",84,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Warner Bros. Games,30 million copies sold in 2 years. Most recent entry in all-time best-sellers list. Harry Potter universe game.,Personal Discovery,"February 10, 2023"
Metroid Prime Remastered,Retro Studios,"Action, Adventure, Shooter",94,Nintendo Switch,Want to Play,High,Nintendo,Metascore 94. Second highest-rated game of 2023. Masterful remaster of GameCube classic.,Personal Discovery,"February 8, 2023"
Dead Space Remake,Motive Studio,"Action, Horror",89,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Electronic Arts,Metascore 89. Faithful remake of 2008 survival horror classic. Enhanced visuals and gameplay while preserving original's atmosphere.,Personal Discovery,"January 27, 2023"
Pizza Tower,Tour De Pizza,"Action, Indie, Platformer",87,PC,Want to Play,High,Tour De Pizza,Metascore 87. Frenetic Wario Land-inspired platformer. Unique art style and soundtrack.,Personal Discovery,"January 26, 2023"
Hi-Fi Rush,Tango Gameworks,"Action, Platformer",87,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Bethesda Softworks,Metascore 87. Rhythm-based action game. Surprise shadow drop. Colorful and innovative.,Personal Discovery,"January 25, 2023"
High on Life,Squanch Games,"Action, Shooter",67,"PC, Xbox One, Xbox Series X|S",Want to Play,Low,Squanch Games,Metascore 67. Talking gun FPS from Rick and Morty creator. Comedic but polarizing.,Personal Discovery,"December 13, 2022"
Midnight Suns,Firaxis Games,"RPG, Strategy",83,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,2K Games,Metascore 83. Marvel tactical RPG. Card-based combat from XCOM creators.,Personal Discovery,"December 2, 2022"
Pokémon Scarlet and Violet,Game Freak,"Adventure, RPG",72,Nintendo Switch,Want to Play,Medium,Nintendo,Best-selling Nintendo game of 2022. First open-world mainline Pokémon games. Sold over 25 million copies despite technical issues.,Personal Discovery,"November 18, 2022"
Pentiment,Obsidian Entertainment,"Adventure, RPG",86,"PC, Xbox One, Xbox Series X|S",Want to Play,High,Xbox Game Studios,Metascore 86. Historical murder mystery. Unique illuminated manuscript art style.,Personal Discovery,"November 15, 2022"
God of War Ragnarök,Santa Monica Studio,"Action, Adventure",94,"PlayStation 4, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Metascore 94. Best-selling PlayStation exclusive of 2022. Epic conclusion to Norse mythology saga. Won multiple GOTY awards.,Personal Discovery,"November 9, 2022"
Sonic Frontiers,Sonic Team,"Action, Adventure, Platformer",72,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Sega,Metascore 72. Open-world Sonic experiment. Divisive but sold over 4 million copies.,Personal Discovery,"November 8, 2022"
Bayonetta 3,PlatinumGames,Action,86,Nintendo Switch,Want to Play,High,Nintendo,Metascore 86. Over-the-top action spectacle. Controversial ending but refined gameplay.,Personal Discovery,"October 28, 2022"
Call of Duty: Modern Warfare II,Infinity Ward,"Action, Shooter",75,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Low,Activision,Best-selling game of 2022 in the US. Continued Call of Duty's dominance in the shooter market.,Personal Discovery,"October 28, 2022"
Signalis,rose-engine,"Adventure, Horror, Indie",84,"Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S",Want to Play,High,Humble Games,Metascore 84. Retro survival horror. PS1 aesthetic with deep sci-fi story.,Personal Discovery,"October 27, 2022"
Gotham Knights,WB Games Montréal,"Action, RPG",68,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Warner Bros. Games,Metascore 68. Batman family co-op game. Mixed reception but dedicated fanbase.,Personal Discovery,"October 21, 2022"
Vampire Survivors,Poncle,"Action, Indie",87,"Mobile, Nintendo Switch, PC, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Poncle,Metascore 87. Addictive bullet heaven roguelike. Created genre phenomenon for low price.,Personal Discovery,"October 20, 2022"
Marvel Snap,Second Dinner,Strategy,81,"Mobile, PC",Want to Play,Medium,Nuverse,Metascore 81. Fast-paced card game. Unique lane-based strategy with Marvel characters.,Personal Discovery,"October 18, 2022"
A Plague Tale: Requiem,Asobo Studio,"Action, Adventure",84,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Focus Entertainment,Metascore 84. Dark medieval stealth adventure. Stunning visuals and emotional story.,Personal Discovery,"October 18, 2022"
Scorn,Ebb Software,"Adventure, Horror",67,"PC, Xbox Series X|S",Want to Play,Medium,Kepler Interactive,Metascore 67. H.R. Giger-inspired horror. Biomechanical nightmare world.,Personal Discovery,"October 14, 2022"
The Case of the Golden Idol,Color Gray Games,"Adventure, Indie, Puzzle",88,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Playstack,Metascore 88. Detective puzzle game. Freeze-frame crime scenes and deduction.,Personal Discovery,"October 13, 2022"
Splatoon 3,Nintendo,"Action, Shooter",83,Nintendo Switch,Want to Play,High,Nintendo,"Metascore 83. Colorful team-based shooter. Over 11 million sold, best-selling in series.",Personal Discovery,"September 9, 2022"
Tinykin,Splashteam,"Adventure, Indie, Platformer",83,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,tinyBuild,Metascore 83. Pikmin-like 3D platformer. Charming ant-sized adventure in a house.,Personal Discovery,"August 30, 2022"
Saints Row (2022),Volition,"Action, Adventure",64,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Low,Deep Silver,Metascore 64. Series reboot. Mixed reception but maintained fanbase.,Personal Discovery,"August 23, 2022"
Rollerdrome,Roll7,"Action, Shooter",81,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Private Division,Metascore 81. Roller skating third-person shooter. Stylish action with combo system.,Personal Discovery,"August 16, 2022"
Cult of the Lamb,Massive Monster,"Action, Indie, Simulation",82,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Devolver Digital,Metascore 82. Build cult and battle enemies. Adorable dark aesthetic. Over 3 million sold.,Personal Discovery,"August 11, 2022"
Xenoblade Chronicles 3,Monolith Soft,"Action, RPG",89,Nintendo Switch,Want to Play,High,Nintendo,Metascore 89. Epic JRPG with 100+ hour story. Massive world and complex combat system.,Personal Discovery,"July 29, 2022"
Stray,BlueTwelve Studio,"Adventure, Indie, Puzzle",83,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Annapurna Interactive,Metascore 83-84. Indie sensation where you play as a cat in cyberpunk city. Charming and atmospheric.,Personal Discovery,"July 19, 2022"
Cuphead: The Delicious Last Course,Studio MDHR,"Action, Platformer",89,"Nintendo Switch, PC, PlayStation 4, Xbox One, Xbox Series X|S",Want to Play,High,Studio MDHR,Metascore 89. DLC expansion for Cuphead. New bosses and Ms. Chalice character.,Personal Discovery,"June 30, 2022"
Neon White,Angel Matrix,"Action, Indie, Platformer",87,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S",Want to Play,High,Annapurna Interactive,Metascore 87. Lightning-fast FPS card game hybrid. Speedrunning heaven with anime aesthetic.,Personal Discovery,"June 16, 2022"
Teenage Mutant Ninja Turtles: Shredder's Revenge,Tribute Games,"Action, Fighting",84,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Dotemu,Metascore 84. Nostalgic beat 'em up. Perfect homage to classic arcade games.,Personal Discovery,"June 16, 2022"
The Quarry,Supermassive Games,"Adventure, Horror",78,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,2K Games,Metascore 78. Cinematic horror game. Interactive movie with branching paths.,Personal Discovery,"June 10, 2022"
Sniper Elite 5,Rebellion Developments,"Action, Shooter",78,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Rebellion Developments,Metascore 78. WWII stealth shooter. Famous for X-ray kill cams.,Personal Discovery,"May 26, 2022"
Trek to Yomi,Flying Wild Hog,"Action, Adventure",74,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Devolver Digital,Metascore 74. Black and white samurai adventure. Kurosawa-inspired aesthetics.,Personal Discovery,"May 5, 2022"
LEGO Star Wars: The Skywalker Saga,TT Games,"Action, Adventure",79,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Warner Bros. Games,Metascore 79. All nine Star Wars films in LEGO form. Massive content and improved gameplay.,Personal Discovery,"April 5, 2022"
Tiny Tina's Wonderlands,Gearbox Software,"RPG, Shooter",78,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,2K Games,Metascore 78. Fantasy spin-off of Borderlands. Looter shooter with D&D theme.,Personal Discovery,"March 25, 2022"
Ghostwire: Tokyo,Tango Gameworks,"Action, Horror",75,"PC, PlayStation 5",Want to Play,Medium,Bethesda Softworks,Metascore 75. Supernatural action in Tokyo. Unique hand-gesture combat.,Personal Discovery,"March 25, 2022"
Kirby and the Forgotten Land,HAL Laboratory,"Action, Platformer",85,Nintendo Switch,Want to Play,High,Nintendo,Metascore 85. First 3D Kirby platformer. Charming post-apocalyptic setting. Over 7 million sold.,Personal Discovery,"March 25, 2022"
Norco,Geography of Robots,"Adventure, Indie",85,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Raw Fury,Metascore 85. Southern Gothic point-and-click. Dystopian Louisiana setting.,Personal Discovery,"March 24, 2022"
Stranger of Paradise: Final Fantasy Origin,Team Ninja,"Action, RPG",72,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Square Enix,Metascore 72. Dark retelling of FF1. Over-the-top Nioh-style combat.,Personal Discovery,"March 18, 2022"
Tunic,Andrew Shouldice,"Action, Adventure, Indie",85,"PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Finji,Metascore 85-87. Zelda-inspired adventure with adorable fox protagonist. Mystery-filled with in-game manual to decipher.,Personal Discovery,"March 16, 2022"
Gran Turismo 7,Polyphony Digital,"Racing, Simulation",87,"PlayStation 4, PlayStation 5",Want to Play,Medium,Sony Interactive Entertainment,Metascore 87. Return to form for legendary racing simulator. Stunning graphics and extensive car collection.,Personal Discovery,"March 4, 2022"
Elden Ring,FromSoftware,"Action, RPG",96,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Bandai Namco Entertainment,Metascore 96. Created by Hidetaka Miyazaki and George R.R. Martin. One of highest-rated games ever. Massive critical and commercial success.,Personal Discovery,"February 25, 2022"
Horizon Forbidden West,Guerrilla Games,"Action, Adventure, RPG",88,"PlayStation 4, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Metascore 88. Sequel to Horizon Zero Dawn. Expanded world with underwater exploration and machine riding.,Personal Discovery,"February 18, 2022"
Total War: Warhammer III,Creative Assembly,Strategy,87,PC,Want to Play,Medium,Sega,Metascore 87. Epic fantasy strategy. Conclusion to Total War Warhammer trilogy.,Personal Discovery,"February 17, 2022"
OlliOlli World,Roll7,"Action, Platformer",85,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Private Division,Metascore 85. Skateboarding platformer. Vibrant art style and smooth gameplay.,Personal Discovery,"February 8, 2022"
Sifu,Sloclap,"Action, Fighting",81,"PC, PlayStation 4, PlayStation 5",Want to Play,Medium,Sloclap,Metascore 81-82. Kung fu action game with unique aging mechanic. Challenging combat inspired by martial arts films.,Personal Discovery,"February 8, 2022"
Dying Light 2 Stay Human,Techland,"Action, Horror",76,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Techland,Metascore 76. Parkour zombie survival. Over 5 million sold in first month.,Personal Discovery,"February 4, 2022"
Forza Horizon 5,Playground Games,Racing,92,"PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Xbox Game Studios,Metascore 92. Best-selling Microsoft exclusive of 2022. Set in Mexico with stunning visuals and massive car roster.,Personal Discovery,"November 9, 2021"
Unpacking,Witch Beam,"Indie, Puzzle, Simulation",82,"Nintendo Switch, PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Witch Beam,Metascore 82. Zen unpacking game. Tells story through environmental storytelling alone.,Personal Discovery,"November 2, 2021"
Marvel's Guardians of the Galaxy,Eidos-Montréal,"Action, Adventure",80,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,Medium,Square Enix,Metascore 80. Underrated single-player adventure. Great character writing and soundtrack.,Personal Discovery,"October 26, 2021"
Inscryption,Daniel Mullins Games,"Horror, Indie, Puzzle, Strategy",85,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One",Want to Play,High,Devolver Digital,Metascore 85. Mind-bending card game horror. Best experienced knowing nothing. Multiple genre shifts.,Personal Discovery,"October 19, 2021"
Metroid Dread,MercurySteam,"Action, Adventure, Platformer",88,Nintendo Switch,Want to Play,High,Nintendo,Metascore 88. First new 2D Metroid in 19 years. Intensely challenging with refined mechanics.,Personal Discovery,"October 8, 2021"
Sable,Shedworks,"Adventure, Indie",76,"PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Raw Fury,Metascore 76. Open-world exploration. Moebius-inspired art and coming-of-age story.,Personal Discovery,"September 23, 2021"
Kena: Bridge of Spirits,Ember Lab,"Action, Adventure",81,"PC, PlayStation 4, PlayStation 5",Want to Play,High,Ember Lab,Metascore 81. Stunning visuals from former animation studio. Challenging combat with adorable Rot companions.,Personal Discovery,"September 21, 2021"
